"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 31 20:19:51 GMT 2024","Thu Oct 31 20:19:52 GMT 2024","1051","4. Remover do Carrinho","","","","","CT 4.2: Remoção de mais de um produto do carrinho na tela do carrinho",""
"passed","Thu Oct 31 20:19:44 GMT 2024","Thu Oct 31 20:19:45 GMT 2024","972","3.	Adicionar ao Carrinho","","","","","CT 3.1: Inserção de nenhum produto ao carrinho",""
"passed","Thu Oct 31 20:19:39 GMT 2024","Thu Oct 31 20:19:40 GMT 2024","1002","2. Visualização de Produtos","","","","","CT 2.1: Visualizar produto pela imagem",""
"passed","Thu Oct 31 20:19:45 GMT 2024","Thu Oct 31 20:19:46 GMT 2024","824","3.	Adicionar ao Carrinho","","","","","CT 3.2: Inserção de apenas um produto ao carrinho",""
"passed","Thu Oct 31 20:19:50 GMT 2024","Thu Oct 31 20:19:51 GMT 2024","1208","4. Remover do Carrinho","","","","","CT 4.1: Remoção de um produto do carrinho pela tela de produtos",""
"passed","Thu Oct 31 20:19:36 GMT 2024","Thu Oct 31 20:19:37 GMT 2024","394","1. Login","","","","","""CT 1.5 - Login Campo senha obrigatório"" (example #1)",""
"passed","Thu Oct 31 20:19:55 GMT 2024","Thu Oct 31 20:19:57 GMT 2024","2310","5. Finalizar Compra","","","","","CT 5.1: Remoção de um produto do carrinho pela tela de produtos",""
"passed","Thu Oct 31 20:19:36 GMT 2024","Thu Oct 31 20:19:36 GMT 2024","392","1. Login","","","","","""CT 1.4 - Login Campo usuário obrigatório"" (example #1)",""
"passed","Thu Oct 31 20:19:34 GMT 2024","Thu Oct 31 20:19:35 GMT 2024","1001","1. Login","","","","","""CT 1.1 - Login Valido"" (example #1)",""
"passed","Thu Oct 31 20:19:35 GMT 2024","Thu Oct 31 20:19:36 GMT 2024","689","1. Login","","","","","""CT 1.2 - Login Inválido"" (example #1)",""
"passed","Thu Oct 31 20:19:40 GMT 2024","Thu Oct 31 20:19:41 GMT 2024","753","2. Visualização de Produtos","","","","","CT 2.2: Visualizar produto pelo título",""
"passed","Thu Oct 31 20:19:36 GMT 2024","Thu Oct 31 20:19:36 GMT 2024","141","1. Login","","","","","""CT 1.3 - Login Campos obrigatórios"" (example #1)",""
"passed","Thu Oct 31 20:19:46 GMT 2024","Thu Oct 31 20:19:47 GMT 2024","900","3.	Adicionar ao Carrinho","","","","","CT 3.3: Inserção de mais de um produto ao carrinho",""
