"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 12 12:35:50 GMT 2024","Tue Nov 12 12:35:51 GMT 2024","1215","4. Remover do Carrinho","","","","","CT 4.1: Remoção de um produto do carrinho pela tela de produtos",""
"passed","Tue Nov 12 12:35:45 GMT 2024","Tue Nov 12 12:35:46 GMT 2024","828","3.	Adicionar ao Carrinho","","","","","CT 3.2: Inserção de apenas um produto ao carrinho",""
"passed","Tue Nov 12 12:35:41 GMT 2024","Tue Nov 12 12:35:41 GMT 2024","747","2. Visualização de Produtos","","","","","CT 2.2: Visualizar produto pelo título",""
"passed","Tue Nov 12 12:35:36 GMT 2024","Tue Nov 12 12:35:36 GMT 2024","416","1. Login","","","","","""CT 1.4 - Login Campo usuário obrigatório"" (example #1)",""
"passed","Tue Nov 12 12:35:51 GMT 2024","Tue Nov 12 12:35:52 GMT 2024","1055","4. Remover do Carrinho","","","","","CT 4.2: Remoção de mais de um produto do carrinho na tela do carrinho",""
"passed","Tue Nov 12 12:35:34 GMT 2024","Tue Nov 12 12:35:35 GMT 2024","1077","1. Login","","","","","""CT 1.1 - Login Valido"" (example #1)",""
"passed","Tue Nov 12 12:35:55 GMT 2024","Tue Nov 12 12:35:57 GMT 2024","2306","5. Finalizar Compra","","","","","CT 5.1: Remoção de um produto do carrinho pela tela de produtos",""
"passed","Tue Nov 12 12:35:40 GMT 2024","Tue Nov 12 12:35:41 GMT 2024","978","2. Visualização de Produtos","","","","","CT 2.1: Visualizar produto pela imagem",""
"passed","Tue Nov 12 12:35:46 GMT 2024","Tue Nov 12 12:35:47 GMT 2024","901","3.	Adicionar ao Carrinho","","","","","CT 3.3: Inserção de mais de um produto ao carrinho",""
"passed","Tue Nov 12 12:35:35 GMT 2024","Tue Nov 12 12:35:35 GMT 2024","700","1. Login","","","","","""CT 1.2 - Login Inválido"" (example #1)",""
"passed","Tue Nov 12 12:35:36 GMT 2024","Tue Nov 12 12:35:37 GMT 2024","410","1. Login","","","","","""CT 1.5 - Login Campo senha obrigatório"" (example #1)",""
"passed","Tue Nov 12 12:35:36 GMT 2024","Tue Nov 12 12:35:36 GMT 2024","152","1. Login","","","","","""CT 1.3 - Login Campos obrigatórios"" (example #1)",""
"passed","Tue Nov 12 12:35:44 GMT 2024","Tue Nov 12 12:35:45 GMT 2024","993","3.	Adicionar ao Carrinho","","","","","CT 3.1: Inserção de nenhum produto ao carrinho",""
