"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 15 20:19:57 GMT 2024","Tue Oct 15 20:19:58 GMT 2024","986","3.	Adicionar ao Carrinho","","","","","CT 3.1: Inserção de nenhum produto ao carrinho",""
"passed","Tue Oct 15 20:19:48 GMT 2024","Tue Oct 15 20:19:49 GMT 2024","418","1. Login","","","","","""CT 1.4 - Login Campo usuário obrigatório"" (example #1)",""
"passed","Tue Oct 15 20:19:58 GMT 2024","Tue Oct 15 20:19:59 GMT 2024","821","3.	Adicionar ao Carrinho","","","","","CT 3.2: Inserção de apenas um produto ao carrinho",""
"passed","Tue Oct 15 20:20:04 GMT 2024","Tue Oct 15 20:20:05 GMT 2024","1067","4. Remover do Carrinho","","","","","CT 4.2: Remoção de mais de um produto do carrinho na tela do carrinho",""
"passed","Tue Oct 15 20:19:59 GMT 2024","Tue Oct 15 20:20:00 GMT 2024","899","3.	Adicionar ao Carrinho","","","","","CT 3.3: Inserção de mais de um produto ao carrinho",""
"passed","Tue Oct 15 20:19:46 GMT 2024","Tue Oct 15 20:19:47 GMT 2024","1027","1. Login","","","","","""CT 1.1 - Login Valido"" (example #1)",""
"passed","Tue Oct 15 20:20:08 GMT 2024","Tue Oct 15 20:20:10 GMT 2024","2245","5. Finalizar Compra","","","","","CT 5.1: Remoção de um produto do carrinho pela tela de produtos",""
"passed","Tue Oct 15 20:19:53 GMT 2024","Tue Oct 15 20:19:54 GMT 2024","752","2. Visualização de Produtos","","","","","CT 2.2: Visualizar produto pelo título",""
"passed","Tue Oct 15 20:20:03 GMT 2024","Tue Oct 15 20:20:04 GMT 2024","1224","4. Remover do Carrinho","","","","","CT 4.1: Remoção de um produto do carrinho pela tela de produtos",""
"passed","Tue Oct 15 20:19:48 GMT 2024","Tue Oct 15 20:19:48 GMT 2024","686","1. Login","","","","","""CT 1.2 - Login Inválido"" (example #1)",""
"passed","Tue Oct 15 20:19:52 GMT 2024","Tue Oct 15 20:19:53 GMT 2024","986","2. Visualização de Produtos","","","","","CT 2.1: Visualizar produto pela imagem",""
"passed","Tue Oct 15 20:19:49 GMT 2024","Tue Oct 15 20:19:49 GMT 2024","405","1. Login","","","","","""CT 1.5 - Login Campo senha obrigatório"" (example #1)",""
"passed","Tue Oct 15 20:19:48 GMT 2024","Tue Oct 15 20:19:48 GMT 2024","145","1. Login","","","","","""CT 1.3 - Login Campos obrigatórios"" (example #1)",""
