"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 04 20:19:21 GMT 2024","Wed Sep 04 20:19:21 GMT 2024","425","1. Login","","","","","""CT 1.5 - Login Campo senha obrigatório"" (example #1)",""
"passed","Wed Sep 04 20:19:35 GMT 2024","Wed Sep 04 20:19:36 GMT 2024","1262","4. Remover do Carrinho","","","","","CT 4.1: Remoção de um produto do carrinho pela tela de produtos",""
"passed","Wed Sep 04 20:19:31 GMT 2024","Wed Sep 04 20:19:32 GMT 2024","927","3.	Adicionar ao Carrinho","","","","","CT 3.3: Inserção de mais de um produto ao carrinho",""
"passed","Wed Sep 04 20:19:20 GMT 2024","Wed Sep 04 20:19:20 GMT 2024","160","1. Login","","","","","""CT 1.3 - Login Campos obrigatórios"" (example #1)",""
"passed","Wed Sep 04 20:19:24 GMT 2024","Wed Sep 04 20:19:25 GMT 2024","1155","2. Visualização de Produtos","","","","","CT 2.1: Visualizar produto pela imagem",""
"passed","Wed Sep 04 20:19:30 GMT 2024","Wed Sep 04 20:19:31 GMT 2024","895","3.	Adicionar ao Carrinho","","","","","CT 3.2: Inserção de apenas um produto ao carrinho",""
"passed","Wed Sep 04 20:19:25 GMT 2024","Wed Sep 04 20:19:26 GMT 2024","776","2. Visualização de Produtos","","","","","CT 2.2: Visualizar produto pelo título",""
"passed","Wed Sep 04 20:19:20 GMT 2024","Wed Sep 04 20:19:21 GMT 2024","428","1. Login","","","","","""CT 1.4 - Login Campo usuário obrigatório"" (example #1)",""
"passed","Wed Sep 04 20:19:29 GMT 2024","Wed Sep 04 20:19:30 GMT 2024","1159","3.	Adicionar ao Carrinho","","","","","CT 3.1: Inserção de nenhum produto ao carrinho",""
"passed","Wed Sep 04 20:19:36 GMT 2024","Wed Sep 04 20:19:38 GMT 2024","1088","4. Remover do Carrinho","","","","","CT 4.2: Remoção de mais de um produto do carrinho na tela do carrinho",""
"passed","Wed Sep 04 20:19:19 GMT 2024","Wed Sep 04 20:19:20 GMT 2024","737","1. Login","","","","","""CT 1.2 - Login Inválido"" (example #1)",""
"passed","Wed Sep 04 20:19:41 GMT 2024","Wed Sep 04 20:19:43 GMT 2024","2799","5. Finalizar Compra","","","","","CT 5.1: Remoção de um produto do carrinho pela tela de produtos",""
"passed","Wed Sep 04 20:19:18 GMT 2024","Wed Sep 04 20:19:19 GMT 2024","1191","1. Login","","","","","""CT 1.1 - Login Valido"" (example #1)",""
