"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 04 12:36:04 GMT 2024","Mon Nov 04 12:36:04 GMT 2024","135","1. Login","","","","","""CT 1.3 - Login Campos obrigatórios"" (example #1)",""
"passed","Mon Nov 04 12:36:23 GMT 2024","Mon Nov 04 12:36:25 GMT 2024","2245","5. Finalizar Compra","","","","","CT 5.1: Remoção de um produto do carrinho pela tela de produtos",""
"passed","Mon Nov 04 12:36:04 GMT 2024","Mon Nov 04 12:36:05 GMT 2024","395","1. Login","","","","","""CT 1.5 - Login Campo senha obrigatório"" (example #1)",""
"passed","Mon Nov 04 12:36:08 GMT 2024","Mon Nov 04 12:36:09 GMT 2024","985","2. Visualização de Produtos","","","","","CT 2.1: Visualizar produto pela imagem",""
"passed","Mon Nov 04 12:36:12 GMT 2024","Mon Nov 04 12:36:13 GMT 2024","964","3.	Adicionar ao Carrinho","","","","","CT 3.1: Inserção de nenhum produto ao carrinho",""
"passed","Mon Nov 04 12:36:13 GMT 2024","Mon Nov 04 12:36:14 GMT 2024","815","3.	Adicionar ao Carrinho","","","","","CT 3.2: Inserção de apenas um produto ao carrinho",""
"passed","Mon Nov 04 12:36:09 GMT 2024","Mon Nov 04 12:36:09 GMT 2024","735","2. Visualização de Produtos","","","","","CT 2.2: Visualizar produto pelo título",""
"passed","Mon Nov 04 12:36:19 GMT 2024","Mon Nov 04 12:36:20 GMT 2024","1045","4. Remover do Carrinho","","","","","CT 4.2: Remoção de mais de um produto do carrinho na tela do carrinho",""
"passed","Mon Nov 04 12:36:14 GMT 2024","Mon Nov 04 12:36:15 GMT 2024","889","3.	Adicionar ao Carrinho","","","","","CT 3.3: Inserção de mais de um produto ao carrinho",""
"passed","Mon Nov 04 12:36:04 GMT 2024","Mon Nov 04 12:36:04 GMT 2024","391","1. Login","","","","","""CT 1.4 - Login Campo usuário obrigatório"" (example #1)",""
"passed","Mon Nov 04 12:36:18 GMT 2024","Mon Nov 04 12:36:19 GMT 2024","1174","4. Remover do Carrinho","","","","","CT 4.1: Remoção de um produto do carrinho pela tela de produtos",""
"passed","Mon Nov 04 12:36:02 GMT 2024","Mon Nov 04 12:36:03 GMT 2024","980","1. Login","","","","","""CT 1.1 - Login Valido"" (example #1)",""
"passed","Mon Nov 04 12:36:03 GMT 2024","Mon Nov 04 12:36:04 GMT 2024","683","1. Login","","","","","""CT 1.2 - Login Inválido"" (example #1)",""
