"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 24 20:20:27 GMT 2024","Tue Sep 24 20:20:27 GMT 2024","826","3.	Adicionar ao Carrinho","","","","","CT 3.2: Inserção de apenas um produto ao carrinho",""
"passed","Tue Sep 24 20:20:25 GMT 2024","Tue Sep 24 20:20:26 GMT 2024","1012","3.	Adicionar ao Carrinho","","","","","CT 3.1: Inserção de nenhum produto ao carrinho",""
"passed","Tue Sep 24 20:20:16 GMT 2024","Tue Sep 24 20:20:17 GMT 2024","711","1. Login","","","","","""CT 1.2 - Login Inválido"" (example #1)",""
"passed","Tue Sep 24 20:20:21 GMT 2024","Tue Sep 24 20:20:22 GMT 2024","1022","2. Visualização de Produtos","","","","","CT 2.1: Visualizar produto pela imagem",""
"passed","Tue Sep 24 20:20:17 GMT 2024","Tue Sep 24 20:20:17 GMT 2024","146","1. Login","","","","","""CT 1.3 - Login Campos obrigatórios"" (example #1)",""
"passed","Tue Sep 24 20:20:17 GMT 2024","Tue Sep 24 20:20:18 GMT 2024","414","1. Login","","","","","""CT 1.5 - Login Campo senha obrigatório"" (example #1)",""
"passed","Tue Sep 24 20:20:22 GMT 2024","Tue Sep 24 20:20:23 GMT 2024","750","2. Visualização de Produtos","","","","","CT 2.2: Visualizar produto pelo título",""
"passed","Tue Sep 24 20:20:27 GMT 2024","Tue Sep 24 20:20:28 GMT 2024","911","3.	Adicionar ao Carrinho","","","","","CT 3.3: Inserção de mais de um produto ao carrinho",""
"passed","Tue Sep 24 20:20:31 GMT 2024","Tue Sep 24 20:20:32 GMT 2024","1245","4. Remover do Carrinho","","","","","CT 4.1: Remoção de um produto do carrinho pela tela de produtos",""
"passed","Tue Sep 24 20:20:36 GMT 2024","Tue Sep 24 20:20:39 GMT 2024","2410","5. Finalizar Compra","","","","","CT 5.1: Remoção de um produto do carrinho pela tela de produtos",""
"passed","Tue Sep 24 20:20:17 GMT 2024","Tue Sep 24 20:20:17 GMT 2024","411","1. Login","","","","","""CT 1.4 - Login Campo usuário obrigatório"" (example #1)",""
"passed","Tue Sep 24 20:20:32 GMT 2024","Tue Sep 24 20:20:33 GMT 2024","1068","4. Remover do Carrinho","","","","","CT 4.2: Remoção de mais de um produto do carrinho na tela do carrinho",""
"passed","Tue Sep 24 20:20:15 GMT 2024","Tue Sep 24 20:20:16 GMT 2024","1080","1. Login","","","","","""CT 1.1 - Login Valido"" (example #1)",""
